,0,1
"""1900000""","""1900""","""19000"""
"""2551535""","""2551""","""25515"""
"""2869010""","""2869""","""28690"""
"""3072909""","""3072""","""30729"""
"""3072935""","""3072""","""30729"""
"""3072940""","""3072""","""30729"""
"""3072964""","""3072""","""30729"""
"""3072990""","""3072""","""30729"""
"""3269920""","""3269""","""32699"""
"""3269924""","""3269""","""32699"""
"""3269946""","""3269""","""32699"""
"""3534155""","""3534""","""35341"""
"""3534161""","""3534""","""35341"""
"""3534173""","""3534""","""35341"""
"""3997150""","""3997""","""39971"""
"""4621110""","""4621""","""46211"""
"""4621115""","""4621""","""46211"""
"""4621120""","""4621""","""46211"""
"""4621130""","""4621""","""46211"""
"""4621145""","""4621""","""46211"""
"""4621155""","""4621""","""46211"""
"""4621183""","""4621""","""46211"""
