Name,STCC,group
FARM PRODUCTS,1,
FOREST PRODUCTS,8,
FRESH FISH & MARINE PRD,9,
METALLIC ORES,10,
COAL,11,
FIELD CROPS,11,
FRESH FRUITS AND TREE NUTS,12,
"CRUDE PETRO, NAT GAS & GSLN",13,
FRESH VEGETABLES,13,
LIVESTOCK AND LIVESTOCK PRD,14,
NONMETALLIC MINERALS,14,
POULTRY AND POULTRY PRODUCTS,15,
MISCELLANEOUS FARM PRODUCTS,19,
ORDNANCE AND ACCESSORIES,19,
FOOD AND KINDRED PRODUCTS,20,
TOBACCO PRODUCTS,21,
TEXTILE MILL PRODUCTS,22,
APPAREL & OTHER FINISHED TEXTILE,23,
"LUMBER & WOOD PRODUCTS, EXC FURN",24,
FURNITURE AND FIXTURES,25,
"PULP, PAPER AND ALLIED PRODUCTS",26,
PRINTED MATTER,27,
CHEMICALS AND ALLIED PRODUCTS,28,
PETROLEUM AND COAL PRODUCTS,29,
RUBBER AND MISCELLANEOUS PLASTIC,30,
LEATHER AND LEATHER PRODUCTS,31,
"STONE, CLAY, GLASS, CONCRETE PRD",32,
PRIMARY METAL PRODUCTS,33,
FABRICATED METAL PRODUCTS,34,
"MACHINERY, EXCEPT ELECTRICAL",35,
"ELECTRICAL MACHY, EQPT & SUPP",36,
TRANSPORTATION EQUIPMENT,37,
"INSTRUMENTS, PHOTO & OPTICAL GDS",38,
MISC PRODUCTS OF MANUFACTURING,39,
WASTE AND SCRAP MATERIALS,40,
MISC FREIGHT SHIPMENTS,41,
"CONTAINERS, SHIPPING, RTD EMPTY",42,
FREIGHT FORWARDER TRAFFIC,44,
SHIPPER ASSN OR SIMILAR TRAFFIC,45,
MISC MIXED SHIPMENTS EXC FORWARD.,46,
HAZARDOUS WASTE,48,
"GUMS AND BARKS, CRUDE",84,
MISCELLANEOUS FOREST PROD.,86,
"FISH HATCHERIES, FARMS",98,
IRON ORES,101,
COPPER ORES,102,
LEAD AND ZINC ORES,103,
GOLD AND SILVER ORES,104,
BAUXITE AND ALUMINUM ORES,105,
MANGANESE ORES,106,
TUNGSTEN ORES,107,
CHROMIUM ORES,108,
MISCELLANEOUS METAL ORES,109,
ANTHRACITE,111,
BITUMINOUS COAL AND LIGNITE,112,
"COTTON,RAW",112,
"OIL SEEDS, NUTS & KERNELS",114,
"FIELD SEEDS, EXC OIL SEEDS",115,
MISCELLANEOUS FIELD CROPS,119,
CITRUS FRUITS,121,
DECIDUOUS FRUITS,122,
"TROPICAL FRUITS, EXC CITRUS",123,
MISC FRESH FRUITS AND NUTS,129,
"BULBS, ROOTS & TUBERS",131,
CRUDE PETROLEUM AND NAT.GAS,131,
NAT.GASOLINE,132,
LEAFY FRESH VEGETABLES,133,
"DRY RIPE VEG SEEDS, ETC",134,
