,0,1
CORN,"CORN, EXCEPT POPCORN","""01132"""
"CORN,NT SHELLED","CORN (NOT POPCORN) OR MAIZE (NOT POPCORN), IN THE EAR, NOT SHELLED, DRIED NOT ORGANICALLY GROWN FREE OF FERTILIZER AND OR PESTICIDE APPLICATIONS","""0113210"""
"CORN, SHELLED","CORN, DRY, SHELLED","""0113215"""
MILO MAIZE,MILO (MILO MAIZE),"""0113655"""
WHEAT,"WHEAT, EXCEPT BUCKWHEAT","""01137"""
WHEAT          ,WHEAT,"""0113710"""
DURUM WHEAT    ,"DURUM WHEAT, AMBER OR RED","""0113720"""
GRAIN,"GRAIN, NEC","""01139"""
COTTONSEED,COTTONSEEDS,"""0114110"""
COTTONSEEDS,COTTONSEEDS,"""0114110"""
RAPE SEEDS,RAPE SEEDS,"""0114951"""
LAWN GRASS SEED,"LAWN GRASS SEEDS, N.E.C.","""0115110"""
CARROTS WO TOPS,"CARROTS, WITHOUT TOPS, FRESH OR GREEN","""0131210"""
CNDA PEAS DRIED,CANADIAN PEAS DRIED,"""0134215"""
"PEAS,NEC,DRIED","PEAS, N.E.C., DRIED, OR SPLIT PEAS, N.E.C., DRIED","""0134290"""
VEGETABLE SEEDS,"VEGETABLE SEEDS, FIELD DRIED, FOR FOOD, NEC","""0134910"""
ROCK SALT,"ROCK SALT, CRUDE","""14715"""
"SOYBN CK,ML,SCR","SOYBEAN (SOYABEAN) VINE, CHOPPED OR GROUND","""0199143"""
"BAUX,BEAUX ORE",BAUXITE (BEAUXITE) ORE,"""1051110"""
BAUXITE,BAUXITE,"""1051110"""
"ALUMINA,CALCIND","ALUMINA, CALCINED","""1051310"""
STLE RSDU MIORE,STAUROLITE RESIDUE (RESIDUE MATERIAL IN THE MINING OF ILMENITE ORE),"""1092959"""
COAL,COAL,"""1121"""
"BITS COAL,PREPD","BITUMINOUS COAL, RAW, FORFURTHER PREPARATION","""1121110"""
PETRO OIL,"PETROLEUM OIL OR SHALE OIL, CRUDE","""1311110"""
PETRO OIL CRUDE,"PETROLEUM OIL, CRUDE","""1311110"""
"PETRO OIL,NEC  ","PETROLEUM OIL, CRUDE","""1311110"""
PETROLEUM CRUDE,"PETROLEUM OIL OR SHALE OIL, CRUDE","""1311110"""
"GASOLINE,NAT","GASOLINE, NATURAL (CAS- INGHEAD), SUITABLE ONLY FOR BLENDING, MIXING OR REFINING","""1321110"""
CRUSHED STONE,CRUSHED AND BROKEN STONE,"""1421"""
STONE,CRUSHED AND BROKEN STONE,"""1421"""
BALLAST ROCK,BALLAST ROCK OR STONE,"""1421930"""
LIMESTONE      ,CRUSHED OR BROKEN LIMESTONE,"""1421965"""
LIMESTONE NEC,"LIMESTONE, N.E.C., BROKEN ORCRUSHED, INCLUDING CHIPS,GROUTS OR SPALLS, OTHER THAN AGRICULTURAL, FLUXING OR DOLOMITIC","""1421965"""
"LIMESTONE, NEC","LIMESTONE, N.E.C., BROKEN ORCRUSHED, INCLUDING CHIPS,GROUTS OR SPALLS, OTHER THAN AGRICULTURAL, FLUXING OR DOLOMITIC","""1421965"""
LINESTONE CRSHD,CRUSHED OR BROKEN LIMESTONE,"""1421965"""
RIPRAP LIMEROCK,RIPRAP LIME ROCK (LIMESTONE) OR BREAKWATER(JETTY) LIMESTONE (LIME ROCK),"""1421972"""
"STONE,NAT NEC","NATURAL STONE, N.E.C., BROKEN OR CRUSHED, INCLUDING CHIPS, GROUTS OR SPALLS, OTHER THAN LIMESTONE","""1421990"""
"STRIPPINGS,SAND","STRIPPINGS, SAND PIT","""1441110"""
"PEBBLES, NEC","PEBBLES, N.E.C.","""1441210"""
GRAVEL,GRAVEL AND SAND MIXED,"""1441230"""
"SAND,GRAVEL MXD",GRAVEL AND SAND MIXED,"""1441230"""
"GRAVEL, NEC","GRAVEL, N.E.C., OR CLAY GRAVEL, OR GRAVEL BALLAST, N.E.C.","""1441290"""
"SAND,INDUSTRIAL","SAND, INDUSTRIAL","""1441310"""
SANDFRAC1630MES,SAND FRACING 16/30 MESH,"""1441311"""
SANDFRAC2040MES,SAND FRACING 20/40 MESH,"""1441312"""
SANDFRAC3050MES,SAND FRACING 30/50 MESH,"""1441313"""
FRAC SAND,"SAND,INDUSTRIAL,OIL OR GAS WELL FRACTURE PROPPING","""1441314"""
SANDINDUSFRACTR,"SAND,INDUSTRIAL,OIL OR GAS WELL FRACTURE PROPPING","""1441314"""
SANDFRAC4070MES,SAND FRACING 40/70 MESH,"""1441316"""
SANDFRAC100MESH,SAND FRACING 100 MESH,"""1441317"""
SANDFRAC1220MES,SAND FRACING 12/20 MESH,"""1441318"""
SAND,"SAND, GROUND OR PULVERIZED","""1441320"""
SAND NEC,"SAND, GROUND OR PULVERIZED","""1441320"""
SNF SDO CORM   ,"SAND, ZIRCON (CRUDE ZIR- CONIUM SILICATE SAND), NOT FOR METALLURGICAL USE, WITHOUT PHENOLIC RESIN OR OTHER MOLDING ORCORE MAKING BINDERS","""1441325"""
"SAND,CRUDE","SAND, ZIRCON (CRUDE ZIR- CONIUM SILICATE SAND), NOT FOR METALLURGICAL USE, WITHOUT PHENOLIC RESIN OR OTHER MOLDING ORCORE MAKING BINDERS","""1441325"""
SANDRES4070MESH,"SAND, RESIN COATED - 40/70 MESH","""1441340"""
"FIRE CLAY,CRUDE","FIRE CLAY, CRUDE","""1451210"""
CLAY,"CLAY, N.E.C., CRUDE","""1451990"""
SULFER,SULPHUR,"""1471620"""
SULPHUR LIQUID,"SULPHUR, LIQUID OR MOLTEN","""1471620"""
DIATOMITE EARTH,DIATOMACEOUS EARTH (DIATOMITE),"""1491825"""
NEPHELIN SYENIT,"NEPHELINE SYENITE, CRUDE","""1491937"""
PROPANE,"PROPANE GAS, LIQUEFIED","""2912111"""
ORDNANCE-INTERMODAL,"ORDNANCE STORES,  N.E.C.","""1991191"""
ANIMAL GREASE,"ANIMAL GREASE OR BONE GREASE, INEDIBLE, OTHER THAN DEGRAS, SOD OIL OR WOOL GREASE, LIQUID","""2014310"""
"ANML GREA,INEDB","ANIMAL GREASE, INEDIBLE, OTHER THAN DEGRAS, SOD OIL OR WOOL GREASE, SOLIDIFIED","""2014320"""
GREASE OIL     ,"GREASE OIL, INEDIBLE, N.E.C., LIQUID OR SOLIDIFIED","""2014391"""
GREASE. OIL,"GREASE OIL, INEDIBLE, N.E.C., LIQUID OR SOLIDIFIED","""2014391"""
BLOOD FLOUR,BLOOD FLOUR,"""20144"""
BLOOD FLOUR    ,BLOOD FLOUR,"""20144"""
"BLOOD, DRIED,NH","BLOOD DRIED, NOT HUMAN","""20144"""
"TANK,GARB DRY","TANKAGE, GARBAGE, DRY","""2014450"""
TANKAGE        ,"TANKAGE, GARBAGE, DRY","""2014450"""
TANKAGE,"TANKAGE, CRUDE, DRIED, OTHER THAN FEEDING, CONTAINING PROTEINS DERIVED FROM RUMINANTS","""2014489"""
TANKAGE (FEED),"TANKAGE, FEEDING, NEC NOT DONTAINING PROTEINS DERIVED FROM RUMINANTS","""2014491"""
"TANKAGE, NEC   ","TANKAGE, FEEDING, NEC NOT DONTAINING PROTEINS DERIVED FROM RUMINANTS","""2014491"""
BUTTER NOT FRZN,"BUTTER OIL (GHEE) OR GREASE, NOT FROZEN SOLID","""2021110"""
"BUTTER FAT,FRZN","BUTTER FAT, FROZEN","""2021115"""
"BUTTER,FROZEN  ","BUTTER FAT, FROZEN","""2021115"""
CHEESE,"CHEESE, INCLUDING CHEESE FOOD","""2025110"""
CHEESE         ,"CHEESE, INCLUDING CHEESE FOOD","""2025110"""
VEGTS CANNED   ,"VEGETABLES, INCLUDING CORN, OTHER THAN CANNED WHOLE KERNEL CORN, VACUUMPACKED, PIMENTOS OR TOMATOES, CANNED, PREPARED OR PRESERVED","""2033220"""
