,SCTG,DGROUP,COUNT,RTM
0,"""02""",50,377,0.149047992521
1,"""02""",100,452,0.0961838439605
2,"""02""",200,477,0.069917024997
3,"""02""",400,700,0.0639729274902
4,"""02""",600,945,0.0504198074127
5,"""02""",800,1237,0.0458573198678
6,"""02""",1000,1178,0.0429411709573
7,"""02""",1200,7075,0.0257809866381
8,"""03""",50,118,0.149978179876
9,"""03""",100,70,0.0792088224833
10,"""03""",200,186,0.0732273253447
11,"""03""",400,198,0.0609060271882
12,"""03""",600,264,0.0509982716176
13,"""03""",800,805,0.062295183855
14,"""03""",1000,500,0.0520436322218
15,"""03""",1200,3841,0.0325745012712
16,"""04""",50,232,0.11095751313
17,"""04""",100,227,0.0471538346314
18,"""04""",200,155,0.0574200080175
19,"""04""",400,390,0.0570559028455
20,"""04""",600,328,0.0518272897192
21,"""04""",800,480,0.0524980366549
22,"""04""",1000,530,0.0370028553761
23,"""04""",1200,2327,0.034497055098
24,"""05""",50,14,0.282593584304
25,"""05""",100,14,0.167757138543
26,"""05""",200,135,0.0862578240872
27,"""05""",400,192,0.0654757492239
28,"""05""",600,253,0.060324211644
29,"""05""",800,204,0.0449038388397
30,"""05""",1000,161,0.0398095443704
31,"""05""",1200,1311,0.0370873521858
32,"""06""",50,129,0.215855541596
33,"""06""",100,602,0.065358278456
34,"""06""",200,655,0.0895647569757
35,"""06""",400,1438,0.0650209338832
36,"""06""",600,1278,0.0539079226011
37,"""06""",800,1623,0.0498457779541
38,"""06""",1000,1148,0.0492131174396
39,"""06""",1200,3436,0.0380065808612
40,"""07""",50,235,0.212744094896
41,"""07""",100,277,0.12728876187
42,"""07""",200,474,0.0960866561627
43,"""07""",400,1668,0.0698985836739
44,"""07""",600,1446,0.0517319514907
45,"""07""",800,2815,0.0571219580589
46,"""07""",1000,2478,0.0448414530763
47,"""07""",1200,9945,0.0407552617278
48,"""08""",50,16,0.457307880013
49,"""08""",100,1,0.21579901485
50,"""08""",200,27,0.122160825832
51,"""08""",400,220,0.100570959341
52,"""08""",600,159,0.0760015206645
53,"""08""",800,407,0.069295873555
54,"""08""",1000,714,0.0466946166717
55,"""08""",1200,3116,0.0450979048039
56,"""09""",1000,2,0.139270283245
57,"""09""",1200,1,0.123827773423
58,"""10""",600,1,0.0482473585004
59,"""10""",1200,18,0.0409646113088
60,"""11""",50,104,0.13945515649
61,"""11""",100,240,0.0914392886269
62,"""11""",200,373,0.0698962323024
63,"""11""",400,764,0.0780163532723
64,"""11""",600,809,0.055442051954
65,"""11""",800,930,0.0474653533187
66,"""11""",1000,493,0.0432380130428
67,"""11""",1200,2011,0.0339876507968
68,"""12""",50,832,0.131039193295
69,"""12""",100,1425,0.0657592475306
70,"""12""",200,1739,0.0523631383892
71,"""12""",400,770,0.0374779495992
72,"""12""",600,177,0.0301475261073
73,"""12""",800,53,0.0532587186721
74,"""12""",1000,15,0.0384624724399
75,"""12""",1200,45,0.024130048261
76,"""13""",100,5,0.188235086462
77,"""13""",200,42,0.097217776139
78,"""13""",400,46,0.0810276755413
79,"""13""",600,102,0.0546125706884
80,"""13""",800,112,0.0600003125306
81,"""13""",1000,102,0.0467993409154
82,"""13""",1200,855,0.0383835565542
83,"""14""",50,916,0.113220750475
84,"""14""",100,419,0.0660097637302
85,"""14""",200,226,0.0531537732097
86,"""14""",400,198,0.0327052116715
87,"""14""",600,715,0.0205008338453
88,"""14""",800,210,0.0446469533205
89,"""14""",1000,79,0.0559557376084
90,"""14""",1200,151,0.043164626687
91,"""15""",50,2169,0.16576385729
92,"""15""",100,1134,0.056981688209
93,"""15""",200,1775,0.052305583625
94,"""15""",400,2797,0.0422257409629
95,"""15""",600,1736,0.0314692293676
96,"""15""",800,1936,0.0213172002203
97,"""15""",1000,2349,0.0212971922604
98,"""15""",1200,6047,0.014722941555
99,"""16""",50,23,0.114925440548
100,"""16""",100,75,0.115942746299
101,"""16""",200,360,0.0829056705114
102,"""16""",400,212,0.0738428036454
103,"""16""",600,108,0.0271275423912
104,"""16""",800,168,0.0342784142897
105,"""16""",1000,230,0.0271739295301
106,"""16""",1200,2002,0.0237056358622
107,"""17""",100,385,0.0920716041378
108,"""17""",200,33,0.0922176828599
109,"""17""",400,37,0.0776266557325
110,"""17""",600,41,0.0730373559446
111,"""17""",800,14,0.055857324619
112,"""17""",1000,10,0.0620864375191
113,"""17""",1200,45,0.0717877602297
114,"""18""",50,29,0.348444594177
115,"""18""",100,155,0.102410392376
116,"""18""",200,112,0.0956911198796
117,"""18""",400,219,0.0757773495997
118,"""18""",600,413,0.056818260306
119,"""18""",800,220,0.0480758844999
120,"""18""",1000,190,0.0517185510922
121,"""18""",1200,721,0.038374852093
122,"""19""",50,770,0.31201785888
123,"""19""",100,1005,0.126623184081
124,"""19""",200,1331,0.103256519479
125,"""19""",400,1953,0.0870416848349
126,"""19""",600,1573,0.0696291100174
127,"""19""",800,1730,0.0625465645137
128,"""19""",1000,1676,0.0565051549334
129,"""19""",1200,4706,0.0473184241135
130,"""20""",50,876,0.300706943859
131,"""20""",100,1436,0.123970211189
132,"""20""",200,2299,0.121760567997
133,"""20""",400,4129,0.0827970504247
134,"""20""",600,3647,0.0719045523138
135,"""20""",800,3326,0.0616341285143
136,"""20""",1000,3683,0.0536871758262
137,"""20""",1200,10040,0.0465132892625
138,"""21""",200,12,0.217403314423
139,"""21""",400,4,0.0950385960056
140,"""21""",600,23,0.0641568313248
141,"""21""",800,9,0.0751940317333
142,"""21""",1000,39,0.0610884277043
143,"""21""",1200,250,0.0551181132763
144,"""22""",50,852,0.168511267055
145,"""22""",100,98,0.137673121901
146,"""22""",200,296,0.0897289901007
147,"""22""",400,602,0.0641854541772
148,"""22""",600,655,0.0570436133706
149,"""22""",800,846,0.0475220491612
150,"""22""",1000,1071,0.0382490158428
151,"""22""",1200,2574,0.0325006763077
152,"""23""",50,64,0.285672828327
153,"""23""",100,149,0.196632050228
154,"""23""",200,214,0.120731326779
155,"""23""",400,691,0.092438038992
156,"""23""",600,436,0.078082452203
157,"""23""",800,1192,0.0662653340492
158,"""23""",1000,986,0.0707790157332
159,"""23""",1200,3872,0.0484733976935
160,"""24""",50,1573,0.187670986612
161,"""24""",100,1520,0.115140228787
162,"""24""",200,1326,0.1067277605
163,"""24""",400,2733,0.0698009795763
164,"""24""",600,1912,0.0750407708101
165,"""24""",800,2429,0.0605409268541
166,"""24""",1000,2405,0.0545633449347
167,"""24""",1200,8235,0.0475448886931
168,"""25""",50,445,0.169941141839
169,"""25""",100,268,0.118478970773
170,"""25""",200,985,0.0747406111911
171,"""25""",400,542,0.0621163750546
172,"""25""",600,140,0.0708901024174
173,"""25""",800,87,0.075110000741
174,"""25""",1000,31,0.0650348811479
175,"""25""",1200,136,0.0478063933442
176,"""26""",50,72,0.343059496433
177,"""26""",100,69,0.153261933231
178,"""26""",200,275,0.106697309932
179,"""26""",400,719,0.0674827271634
180,"""26""",600,623,0.0697389048669
181,"""26""",800,913,0.0585152625871
182,"""26""",1000,1306,0.0565559746976
183,"""26""",1200,6584,0.0406184943023
184,"""27""",50,54,0.266065864698
185,"""27""",100,220,0.193029328864
186,"""27""",200,734,0.121173527064
187,"""27""",400,1927,0.0870877613659
188,"""27""",600,1312,0.0742011736516
189,"""27""",800,2140,0.0599764729252
190,"""27""",1000,1955,0.055150662236
191,"""27""",1200,8322,0.0433407052518
192,"""28""",100,1,0.290849673203
193,"""28""",200,8,0.114635914046
194,"""28""",400,173,0.0839672786306
195,"""28""",600,157,0.102530249924
196,"""28""",800,1269,0.0650294485215
197,"""28""",1000,713,0.0572836645399
198,"""28""",1200,2597,0.0478836157451
199,"""29""",200,9,0.0930402643312
200,"""29""",400,36,0.0954321624261
201,"""29""",600,1,0.0496486403911
202,"""29""",800,256,0.0655398207095
203,"""29""",1000,150,0.0500226879432
204,"""29""",1200,613,0.0411004607846
205,"""30""",100,7,0.243228570055
206,"""30""",200,230,0.164522477429
207,"""30""",400,185,0.101471103575
208,"""30""",600,102,0.106165270267
209,"""30""",800,2217,0.0698272346273
210,"""30""",1000,2086,0.0656466821912
211,"""30""",1200,7177,0.0671747373398
212,"""31""",50,98,0.190123561046
213,"""31""",100,444,0.1265691273
214,"""31""",200,1263,0.0809031977706
215,"""31""",400,2496,0.068711183017
216,"""31""",600,1816,0.0611421154365
217,"""31""",800,1327,0.05831989659
218,"""31""",1000,1050,0.0574958544448
219,"""31""",1200,3389,0.0469886729259
220,"""32""",50,306,0.27100402438
221,"""32""",100,208,0.166308436966
222,"""32""",200,1196,0.0906452407467
223,"""32""",400,2650,0.0754630868202
224,"""32""",600,1562,0.0678876105774
225,"""32""",800,1194,0.0621792697277
226,"""32""",1000,1157,0.0565795250846
227,"""32""",1200,4107,0.0439491412349
228,"""33""",200,36,0.170934608704
229,"""33""",400,110,0.141274609219
230,"""33""",600,86,0.108307062625
231,"""33""",800,421,0.0911497109773
232,"""33""",1000,394,0.0768101199005
233,"""33""",1200,1896,0.0641707157477
234,"""34""",100,10,0.245835947179
235,"""34""",200,55,0.154230529548
236,"""34""",400,207,0.134197746642
237,"""34""",600,72,0.183190481573
238,"""34""",800,329,0.10852422752
239,"""34""",1000,233,0.0837178283736
240,"""34""",1200,2135,0.103158249719
241,"""35""",200,210,0.146970293362
242,"""35""",400,488,0.115131568174
243,"""35""",600,251,0.0884969182509
244,"""35""",800,509,0.0856501288432
245,"""35""",1000,371,0.0939157179445
246,"""35""",1200,2625,0.0843289982516
247,"""36""",50,29,0.479634962756
248,"""36""",100,354,0.455487026442
249,"""36""",200,5272,0.305263447302
250,"""36""",400,6282,0.222620541717
251,"""36""",600,5052,0.176615423715
252,"""36""",800,9289,0.138477966712
253,"""36""",1000,4630,0.142638551513
254,"""36""",1200,25105,0.10441049323
255,"""37""",50,105,0.362264182712
256,"""37""",100,319,0.314784653238
257,"""37""",200,2986,0.258003952849
258,"""37""",400,6505,0.162828402713
259,"""37""",600,3371,0.133421585088
260,"""37""",800,6213,0.112380914268
261,"""37""",1000,2699,0.0860849406445
262,"""37""",1200,14657,0.0784882482405
263,"""38""",200,1,0.0913404507711
264,"""38""",400,14,0.143769313025
265,"""38""",600,6,0.1241993663
266,"""38""",800,17,0.0579743428689
267,"""38""",1000,42,0.0599063706017
268,"""38""",1200,228,0.0592898843354
269,"""39""",200,89,0.193430268744
270,"""39""",400,92,0.131158650238
271,"""39""",600,122,0.106285836084
272,"""39""",800,264,0.0802480617249
273,"""39""",1000,459,0.0644529921621
274,"""39""",1200,2340,0.0876683987069
275,"""40""",50,4,0.286062152134
276,"""40""",200,38,0.166033819607
277,"""40""",400,94,0.155946000497
278,"""40""",600,66,0.128815028393
279,"""40""",800,246,0.0926813262333
280,"""40""",1000,253,0.0822642032393
281,"""40""",1200,1484,0.0957416647831
282,"""41""",50,219,0.329713370023
283,"""41""",100,468,0.142959075801
284,"""41""",200,2167,0.0845284352227
285,"""41""",400,4224,0.0623697373809
286,"""41""",600,1439,0.0599724536106
287,"""41""",800,1266,0.0484648852039
288,"""41""",1000,873,0.0517409630186
289,"""41""",1200,2222,0.0392356805655
290,"""43""",50,84,0.293417080084
291,"""43""",100,136,0.237835842503
292,"""43""",200,7280,0.139512261645
293,"""43""",400,23016,0.102767080722
294,"""43""",600,10645,0.0819287954299
295,"""43""",800,33185,0.0790319079655
296,"""43""",1000,28972,0.0657109533841
297,"""43""",1200,146349,0.0637718070558
