,False,cmdty,d1,destination,dist,dist1,inout,nos,o1,o2,origin,rr,rr1,rr2,wt,wtpcr,commo_new
0,,0113110,,"WATERLOO, WI",,299.8,Terminating,27.0,,,"MINNEAPOLIS, MN",wsor,CPRS,,106.42287037,,"""02"""
1,,0113110,,"WATERLOO, WI",,299.8,Terminating,3.0,,,"MINNEAPOLIS, MN",wsor,CPRS,,99.29,,"""02"""
2,,0113115,,"WATERLOO, WI",,954.5,Terminating,16.0,,,"LANG, SK",wsor,CPRS,,101.78659375,,"""02"""
3,,0113115,,"WATERLOO, WI",,1813.0,Terminating,6.0,,,"RIRIE, ID",wsor,UP,,102.061666667,,"""02"""
4,,0113115,,"WATERLOO, WI",,1137.2,Terminating,2.0,,,"STOUGHTON, SK",wsor,SSS,,104.853,,"""02"""
5,,0113215,,"ARGO, IL",,103.4,Originating,965.0,,,"AVALON, WI",wsor,,CHGO,111.471683938,,"""02"""
6,,0113215,,"BRUNSWICK, GA",,1153.2,Originating,4.0,,,"AVALON, WI",wsor,,CHGO,99.66625,,"""02"""
7,,0113215,,"CHATTANOOGA, TN",,734.3,Originating,60.0,,,"AVALON, WI",wsor,,CHGO,111.13025,,"""02"""
8,,0113215,,"OKEECHOBEE, FL",,1453.6,Originating,2.0,,,"AVALON, WI",wsor,,CHGO,97.88,,"""02"""
9,,0113215,,"UNION CITY, GA",,842.2,Originating,11.0,,,"AVALON, WI",wsor,,CHGO,98.7253846154,,"""02"""
10,,0113215,,"UNION CITY, IN",,401.8,Originating,311.0,,,"AVALON, WI",wsor,,CHGO,108.151932299,,"""02"""
11,,0113215,,"WINDER, GA",,872.0,Originating,24.0,,,"AVALON, WI",wsor,,CHGO,99.1577777778,,"""02"""
12,,0113215,,"N LEEDS, ME",,1259.6,Originating,9.0,,,"AVALON, WI",wsor,,CHGO,99.3055555556,,"""02"""
13,,0113215,,"PITTSBURG, TX",,936.9,Originating,220.0,,,"AVALON, WI",wsor,,JANVL,101.950545455,,"""02"""
14,,0113215,,"TENAHA, TX",,1164.1,Originating,110.0,,,"AVALON, WI",wsor,,JANVL,101.942636364,,"""02"""
15,,0113215,,"PRAIRIE DU CHIE, WI",,27.6,Originating,75.0,,,"BOSCOBEL, WI",wsor,,,100.871366667,,"""02"""
16,,0113215,,"ARGO, IL",,224.5,Originating,1275.0,,,"BOSCOBEL, WI",wsor,,,99.8071249057,,"""02"""
17,,0113215,,"ARGO, IL",,224.5,Originating,95.0,,,"BOSCOBEL, WI",wsor,,CLEAR,99.0669473684,,"""02"""
18,,0113215,,"MILTON, WI",,28.0,Originating,25.0,,,"BRODHEAD, WI",wsor,,,100.0,,"""02"""
19,,0113215,,"MONROE, WI",,155.6,Originating,130.0,,,"BRODHEAD, WI",wsor,,,98.0,,"""02"""
20,,0113215,,"ZENDA, WI",,49.3,Originating,1.0,,,"BRODHEAD, WI",wsor,,,100.0,,"""02"""
21,,0113215,,"ARGO, IL",,131.2,Originating,374.0,,,"BRODHEAD, WI",wsor,,CHGO,99.9331550802,,"""02"""
22,,0113215,,"MILTON, WI",,93.6,Originating,18.0,,,"BURNETT, WI",wsor,,,100.0,,"""02"""
23,,0113215,,"MILTON, WI",,45.9,Originating,75.0,,,"COTTAGE GROVE, WI",wsor,,,100.0,,"""02"""
24,,0113215,,"MONROE, WI",,86.8,Originating,442.0,,,"COTTAGE GROVE, WI",wsor,,,98.0104072398,,"""02"""
25,,0113215,,"PRAIRIE DU CHIE, WI",,110.0,Originating,52.0,,,"COTTAGE GROVE, WI",wsor,,,99.0,,"""02"""
26,,0113215,,"ARGO, IL",,165.9,Originating,25.0,,,"COTTAGE GROVE, WI",wsor,,CHGO,99.0,,"""02"""
27,,0113215,,"MONROE, WI",,52.6,Originating,224.0,,,"DARIEN, WI",wsor,,,98.0,,"""02"""
28,,0113215,,"ZENDA, WI",,17.2,Originating,2.0,,,"DARIEN, WI",wsor,,,99.0,,"""02"""
29,,0113215,,"ARGO, IL",,99.1,Originating,597.0,,,"DARIEN, WI",wsor,,CHGO,100.0,,"""02"""
30,,0113215,,"ARGO, IL",,99.1,Originating,700.0,,,"DARIEN, WI",wsor,,CLEAR,111.741413571,,"""02"""
31,,0113215,,"AVALON, WI",,68.0,Originating,25.0,,,"DEANSVILLE, WI",wsor,,,102.0333,,"""02"""
32,,0113215,,"MILTON, WI",,51.4,Originating,25.0,,,"DEANSVILLE, WI",wsor,,,100.0,,"""02"""
33,,0113215,,"ARGO, IL",,171.4,Originating,23.0,,,"DEANSVILLE, WI",wsor,,CHGO,100.837826087,,"""02"""
34,,0113215,,"MILTON, WI",,88.5,Originating,245.0,,,"HORICON, WI",wsor,,,100.204081633,,"""02"""
35,,0113215,,"PRAIRIE DU CHIE, WI",,220.6,Originating,25.0,,,"HORICON, WI",wsor,,,110.0,,"""02"""
36,,0113215,,"ARGO, IL",,211.3,Originating,636.0,,,"HORICON, WI",wsor,,CHGO,105.451257862,,"""02"""
37,,0113215,,"MILTON, WI",,0.0,Originating,172.0,,,"MILTON JCT, WI",wsor,,,97.3837209302,,"""02"""
38,,0113215,,"MONROE, WI",,43.7,Originating,255.0,,,"MILTON, WI",wsor,,,98.0,,"""02"""
39,,0113215,,"ZENDA, WI",,40.9,Originating,12.0,,,"MILTON, WI",wsor,,,100.0,,"""02"""
40,,0113215,,"MONROE, WI",,131.2,Originating,200.0,,,"MUSCODA, WI",wsor,,,98.10875,,"""02"""
41,,0113215,,"PRAIRIE DU CHIE, WI",,41.8,Originating,100.0,,,"MUSCODA, WI",wsor,,,103.84433,,"""02"""
