,latlon,source
"ABERDEEN, NC","35.131547,-79.4294789",ap
"ABERDEEN, WA","46.975371,-123.815722",ap
"ABILENE, KS","38.917252,-97.21377",ap
"ACHESON, AB","53.5459141,-113.7715761",ap
"ACKERMAN, GA","33.4605037,-82.2499504",ap
"ACKERMAN, MS","33.3101243,-89.1728434",ap
"ADA, OH","38.8398935,-83.5051704",ap
"Addis, AL","30.3538043,-91.2653865",ap
"ADEL, GA","31.1371358,-83.4234936",ap
"ADELL, WI","43.6191633,-87.9520364",ap
"ADRIAN (ADBF), MI","41.9002649,-84.11956",mg
"ADRIAN, MI","41.8975152,-84.0373054",ap
"ADVANCE, LA","36.5157803,-118.9026011",ap
"AGINCOURT, ON","43.7853531,-79.2785494",ap
"ALBANY, GA","31.5782062,-84.1556809",ap
"ALBANY, NY","42.6511674,-73.754968",ap
"ALBANY, OR","44.6365071,-123.1059324",ap
"Albert City, IA","42.7819199,-94.9485993",ap
"Albion, NE","41.6929347,-98.0012269",ap
"Alchem, WY","41.5976215,-109.7623333",mg
"Alexander, MB","49.8298034,-100.293761",ap
"ALEXANDRIA, IN","40.2574293,-85.7488059",mg
"ALEXANDRIA, VA","38.8147596,-77.09024765",ap
"ALLEMANIA, LA","30.2613062,-91.2184404",ap
"Allemania, LA","30.2613062,-91.2184404",ap
"ALLENTOWN (RJCN, PA","40.5931373,-75.5188394",mg
"ALLIANCE, TX","31.4651816,-97.1754089",ap
"Alma, PQ","48.5473444,-71.8360291",mg
"Almeda, TX","29.604122,-95.4171624",ap
"ALMENA, KS","39.892229,-99.707058",ap
"ALPENA, MI","45.0616794,-83.4327528",ap
"ALTAMIRA, TM","22.5632643,-98.2216566",mg
"Alto, MI","42.8565044,-85.3804447",ap
"ALTON, IL","38.8906038,-90.1842764",ap
"ALTOONA, PA","40.518681,-78.394736",ap
"ALTUS, OK","34.6381255,-99.3339754",ap
"Altus, OK","34.6381255,-99.3339754",ap
"AMARILLO, TX","35.2072185,-101.8338246",ap
"Ambrose, GA","31.5938031,-83.0143147",ap
"AMELIA, TX","30.0699357,-94.1910161",ap
"Amelia, TX","30.0699357,-94.1910161",ap
"AMERICUS, GA","32.0723862,-84.2326876",ap
"AMOCO, VA","38.8734985,-77.15263055",ap
"AMORY, MS","33.9842768,-88.488099",ap
"Amos, PQ","48.6110925,-78.2929746",mg
"AMOS, PQ","48.6106402,-78.2922469",mg
"ANACONDA, MT","46.128794,-112.942369",ap
"ANAHUAC, CI","25.7366121,-100.2966936",ap
"Anchorage, LA","30.4827254,-91.2278958",mg
"ANDERSON, CA","44.2022414,-76.9276688",ap
"ANNAPOLIS, MO","37.3603272,-90.6976197",ap
"ANSONVILLE, NC","35.1045943,-80.1092259",ap
"APASEO, GJ","20.5488221,-100.7506043",mg
"APPLE GROVE, WV","37.4376116,-81.8048366",ap
"APPLIANCE PARK, KY","37.0774652,-85.3351955",ap
"ARBELA, MS",",",
"ARBUCKLE, CA","46.8977297,-67.3886632",ap
"ARCADE, NY","42.5339513,-78.4230737",ap
"Arcadia, LA","34.1362075,-118.0401497",ap
"ARENA, WI","43.165548,-89.9129013",ap
"ARGO, IL","33.6882155,-86.50140448",ap
"Argo, IL","33.6882155,-86.50140448",ap
"Arkansas City, KS","37.0622562,-97.0388338",ap
"ARLINGTON, OH","39.8664423,-84.4246705",ap
"ARMOREL, AR","35.9213823,-89.8113569",ap
"ARMOURDALE, KS","39.0845051,-94.64141301",ap
"ARMSTRONG, BC","50.4435749,-119.1944058",ap
"ARRIBA, CO","39.2860997,-103.2754955",ap
"Arvada, CO","39.8211225,-105.220743",ap
"Ascension,  LA","30.2050097,-91.1498876",mg
"ASHFORDJC, NY","42.3203097,-78.6258827",mgdc
"ASHLEY, MI","33.1742582,-91.7295595",ap
"ATHOL, KS","39.7650117,-98.9195242",ap
"ATIKOKAN, ON","48.762526,-91.624603",ap
"Atikokan, ON","48.762526,-91.624603",ap
"ATMORE, AL","31.0237921,-87.4938708",ap
"AUBURN, ME","44.0978509,-70.2311655",ap
"AUBURN, MI","32.527002,-85.43674841",ap
"AUGUSTA, GA","33.4709714,-81.9748429",ap
"Augusta, GA","33.4709714,-81.9748429",ap
"Augusta, Ga","33.4709714,-81.9748429",ap
"AUGUSTA, MS","31.2024033,-89.0347743",ap
"Augusta, WI","44.6802386,-91.1198755",ap
"AURORA, IL","41.7571701,-88.3147539",ap
"Aurora, SD","43.6963371,-98.5722461",ap
"AUSTIN, MN","43.6680928,-92.9744896",ap
"AUTAUGA CREEK, AL","32.4601504,-86.4761952",ap
"Autauga, AL","32.5165255,-86.6319403",ap
"AVALON, WI","42.6327908,-88.8676077",ap
"AYER, MA","42.5612021,-71.5897897",ap
"BAIE COMEAU, PQ","49.1736113,-68.391239",mg
"Baie Comeau, PQ","49.1736113,-68.391239",mg
"Baie comeau, PQ","49.1736113,-68.391239",mg
"BAKERSFIELD, CA","35.3738712,-119.0194639",ap
"BAKERSTOW, PA","40.6509307,-79.953997",mg
"BALDWINSVILLE, NY","43.158679,-76.33271",ap
"BALTIMORE CANTO, MD","39.2814871,-76.5856031",mgdc
