,,0,1
"(18.1321333, -94.4675077)","(30.6943566, -88.0430541)",1 day 4 hours,1618.125
"(18.1321333, -94.4675077)","(33.9842768, -88.488099)",1 day 7 hours,1775.625
"(18.1321333, -94.4675077)","(39.2070698, -123.1867583)",1 day 21 hours,2685.625
"(18.1321333, -94.4675077)","(41.8456936, -88.3813538)",1 day 14 hours,2213.125
"(19.0437227, -98.1984744)","(39.9356016, -91.4098727)",1 day 7 hours,1883.75
"(19.5242372, -99.2050217)","(39.1134562, -94.626497)",1 day 2 hours,1661.875
"(20.4785829, -100.9957066)","(35.3738712, -119.0194639)",1 day 7 hours,1779.375
"(20.507222, -98.503889)","(39.503235, -98.542957)",1 day 3 hours,1536.875
"(20.730686, -103.544947)","(39.350833, -101.7101722)",1 day 3 hours,1531.25
"(22.1131157, -101.2370011)","(39.350833, -101.7101722)",23 hours 16 mins,1373.75
"(22.2110257, -97.857987)","(44.0206919, -88.5408574)",1 day 6 hours,1868.75
"(22.5632643, -98.2216566)","(35.2273656, -80.5006219)",1 day 2 hours,1707.5
"(25.4306326, -101.1233233)","(39.679449, -100.293472)",18 hours 21 mins,1150.625
"(25.5229739, -103.442126)","(39.7683331, -86.1583502)",1 day 1 hour,1682.5
"(25.7742658, -80.1936589)","(30.6943566, -88.0430541)",10 hours 2 mins,724.375
"(25.7742658, -80.1936589)","(39.7683331, -86.1583502)",17 hours 7 mins,1202.5
"(25.7753549, -100.1131366)","(39.3351558, -98.7933509)",16 hours 33 mins,1105.0
"(25.7753549, -100.1131366)","(39.3394436, -101.889344)",17 hours 15 mins,1098.125
"(25.7753549, -100.1131366)","(39.350833, -101.7101722)",17 hours 9 mins,1091.25
"(25.7753549, -100.1131366)","(39.458684, -98.108282)",15 hours 59 mins,1071.875
"(25.9140256, -97.4890856)","(38.4970321, -94.9508229)",14 hours 58 mins,996.25
"(26.9325923, -101.4957503)","(44.0206919, -88.5408574)",1 day 1 hour,1635.625
"(27.0273407, -80.4820908)","(38.7477661, -105.1499801)",1 day 5 hours,2005.0
"(27.0273407, -80.4820908)","(38.8402805, -97.6114237)",22 hours 12 mins,1544.375
"(27.0273407, -80.4820908)","(39.3047907, -102.2692394)",1 day 2 hours,1808.125
"(27.0273407, -80.4820908)","(39.350833, -101.7101722)",1 day 1 hour,1778.75
"(27.0273407, -80.4820908)","(39.540837, -100.567644)",1 day 1 hour,1737.5
"(27.0273407, -80.4820908)","(39.809734, -98.55562)",23 hours 47 mins,1630.625
"(27.354367, -81.228484)","(30.421309, -87.2169149)",8 hours 3 mins,546.875
"(27.3923408, -80.8873655)","(38.8402805, -97.6114237)",21 hours 36 mins,1512.5
"(27.4467056, -80.3256056)","(39.783235, -97.894926)",22 hours 52 mins,1573.75
"(27.5199841, -99.4953764)","(30.6943566, -88.0430541)",11 hours 39 mins,785.0
"(27.5199841, -99.4953764)","(39.350833, -101.7101722)",14 hours 38 mins,952.5
"(27.5199841, -99.4953764)","(39.503235, -98.542957)",13 hours 54 mins,958.75
"(27.7153774, -97.6199942)","(35.6385545, -99.0001085)",9 hours 41 mins,630.0
"(27.8002542, -97.3955744)","(35.5156056, -98.9673069)",9 hours 32 mins,623.125
"(27.8002542, -97.3955744)","(38.9194442, -97.371137)",12 hours 23 mins,870.625
"(27.8002542, -97.3955744)","(39.4985041, -98.3086214)",13 hours 16 mins,926.875
"(27.8002542, -97.3955744)","(39.503235, -98.542957)",13 hours 30 mins,940.625
"(27.8524011, -101.1183777)","(39.3351558, -98.7933509)",15 hours 19 mins,894.375
"(27.8524011, -101.1183777)","(39.503235, -98.542957)",15 hours 24 mins,989.375
"(27.8987983, -81.6043122)","(43.074761, -89.3837613)",19 hours 31 mins,1353.75
"(27.9222444, -97.2899915)","(47.920575, -104.0310439)",1 day 2 hours,1736.875
"(27.9477595, -82.458444)","(30.421309, -87.2169149)",6 hours 32 mins,471.25
"(27.9477595, -82.458444)","(31.9729271, -87.5224982)",8 hours 7 mins,534.375
"(27.9477595, -82.458444)","(35.3738712, -119.0194639)",1 day 13 hours,2563.75
"(27.9477595, -82.458444)","(39.3855585, -101.1948806)",23 hours 19 mins,1645.625
"(27.9477595, -82.458444)","(39.679449, -100.293472)",23 hours 20 mins,1639.375
"(27.9477595, -82.458444)","(39.7983453, -98.6761812)",22 hours 10 mins,1526.25
"(27.9477595, -82.458444)","(43.4704014, -89.7437844)",19 hours 35 mins,1373.75
"(27.9789739, -97.3979765)","(39.4667025, -87.4139119)",16 hours 58 mins,1142.5
"(28.01806015, -82.11848199)","(30.5798041, -87.3928984)",6 hours 47 mins,487.5
"(28.01806015, -82.11848199)","(31.9729271, -87.5224982)",8 hours 15 mins,543.75
"(28.1743275, -81.49322346)","(38.8402805, -97.6114237)",20 hours 43 mins,1443.125
"(28.4061231, -80.7573222)","(39.4667025, -87.4139119)",14 hours 40 mins,993.75
"(28.4061231, -80.7573222)","(43.3997196, -88.5326008)",19 hours 32 mins,1348.125
"(28.4152807, -96.7135933)","(36.7295295, -119.7088613)",1 day 1 hour,1723.75
"(28.4152807, -96.7135933)","(42.7755645, -88.943999)",19 hours 6 mins,1266.875
"(28.4152807, -96.7135933)","(43.0709273, -89.4322174)",19 hours 40 mins,1303.125
"(28.4152807, -96.7135933)","(43.0785747, -89.1988571)",19 hours 26 mins,1291.25
"(28.4152807, -96.7135933)","(43.4704014, -89.7437844)",20 hours 10 mins,1340.625
"(28.5077778, -96.7780387)","(43.074761, -89.3837613)",19 hours 29 mins,1291.875
"(28.5077778, -96.7780387)","(43.7291617, -87.8106439)",20 hours 24 mins,1379.375
"(28.6481586, -96.8933907)","(38.8428256, -86.9913959)",16 hours 5 mins,1085.625
"(28.6481586, -96.8933907)","(39.4667025, -87.4139119)",16 hours 3 mins,1080.625
"(28.6481586, -96.8933907)","(42.6829765, -89.0226793)",18 hours 40 mins,1240.625
"(28.6481586, -96.8933907)","(42.7755645, -88.943999)",18 hours 47 mins,1246.875
"(28.6481586, -96.8933907)","(43.0349931, -87.922497)",19 hours 25 mins,1315.0
"(28.6481586, -96.8933907)","(43.7291617, -87.8106439)",20 hours 12 mins,1367.5
"(28.6481586, -96.8933907)","(44.0206919, -88.5408574)",20 hours 30 mins,1346.875
"(28.6716708, -96.596199)","(39.756121, -99.323985)",13 hours 47 mins,910.625
"(28.6816139, -96.5668611)","(36.7295295, -119.7088613)",1 day 1 hour,1724.375
"(28.6816139, -96.5668611)","(39.4667025, -87.4139119)",15 hours 58 mins,1066.25
"(28.6816139, -96.5668611)","(43.0349931, -87.922497)",19 hours 20 mins,1300.625
"(28.6816139, -96.5668611)","(43.1082694, -87.95651385)",19 hours 27 mins,1305.0
"(28.7091433, -100.4995214)","(38.8402805, -97.6114237)",12 hours 30 mins,858.75
"(28.7091433, -100.4995214)","(39.4985041, -98.3086214)",13 hours 35 mins,931.875
"(28.7091433, -100.4995214)","(39.503235, -98.542957)",13 hours 49 mins,945.625
"(28.792861, -100.3110817)","(35.6385545, -99.0001085)",8 hours 51 mins,560.0
"(28.8288632, -95.9667173)","(39.4667025, -87.4139119)",15 hours 33 mins,1030.625
"(28.8327464, -95.9358396)","(43.7291617, -87.8106439)",19 hours 36 mins,1314.375
"(28.8377805, -96.5432589)","(38.8402805, -97.6114237)",11 hours 17 mins,751.25
"(28.9541368, -95.3596617)","(30.421309, -87.2169149)",8 hours 35 mins,587.5
"(28.9541368, -95.3596617)","(35.3738712, -119.0194639)",1 day 1 hour,1693.125
"(28.9541368, -95.3596617)","(39.4667025, -87.4139119)",15 hours 3 mins,1005.0
"(28.9541368, -95.3596617)","(42.7755645, -88.943999)",17 hours 47 mins,1171.25
"(28.9541368, -95.3596617)","(43.0349931, -87.922497)",18 hours 25 mins,1239.375
"(28.9541368, -95.3596617)","(43.0962919, -89.5119565)",18 hours 22 mins,1212.5
"(28.9541368, -95.3596617)","(43.7291617, -87.8106439)",19 hours 12 mins,1291.875
"(28.9541368, -95.3596617)","(44.0206919, -88.5408574)",19 hours 30 mins,1271.25
"(29.1235098, -90.21293155)","(35.4119944, -99.4042592)",12 hours 37 mins,834.375
"(29.2560731, -98.3327903)","(39.7683331, -86.1583502)",17 hours 13 mins,1196.875
"(29.299328, -94.7945882)","(35.4119944, -99.4042592)",8 hours 34 mins,568.75
"(29.299328, -94.7945882)","(35.6385545, -99.0001085)",8 hours 42 mins,592.5
"(29.299328, -94.7945882)","(39.2783208, -103.5002239)",14 hours 57 mins,981.25
"(29.299328, -94.7945882)","(39.4985041, -98.3086214)",11 hours 53 mins,817.5
"(29.3132939, -95.2521556)","(39.4667025, -87.4139119)",14 hours 52 mins,982.5
"(29.3132939, -95.2521556)","(43.1753733, -89.7960089)",18 hours 32 mins,1206.875
"(29.3132939, -95.2521556)","(43.5324809, -90.0026259)",18 hours 55 mins,1238.75
"(29.3132939, -95.2521556)","(43.7291617, -87.8106439)",19 hours 1 min,1269.375
"(29.3132939, -95.2521556)","(43.7486054, -87.977038)",19 hours 3 mins,1266.875
"(29.383845, -94.9027002)","(30.421309, -87.2169149)",8 hours 1 min,537.5
"(29.383845, -94.9027002)","(43.0349931, -87.922497)",18 hours 9 mins,1220.0
"(29.4246002, -98.4951405)","(39.3330542, -102.0379596)",12 hours 40 mins,836.25
"(29.4246002, -98.4951405)","(39.350833, -101.7101722)",12 hours 30 mins,821.875
"(29.4246002, -98.4951405)","(39.3666687, -101.3768295)",12 hours 25 mins,793.125
"(29.4246002, -98.4951405)","(39.7652881, -99.2128695)",12 hours 26 mins,851.875
"(29.4246002, -98.4951405)","(39.779179, -98.785075)",12 hours 7 mins,831.875
"(29.4246002, -98.4951405)","(39.783235, -97.894926)",11 hours 29 mins,793.125
"(29.4246002, -98.4951405)","(39.7983453, -98.6761812)",12 hours 7 mins,828.75
"(29.4246002, -98.4951405)","(39.809734, -98.55562)",11 hours 58 mins,823.75
